(0.0261544,-0.00653096)
(0.0189215,-0.00405896)
(0.0228278,-0.000885037)
(0.0175481,0.00662252)
(0.0144353,0.016419)
(0.00759911,0.0253609)
(0.00448622,0.0308237)
(0.00155644,0.030549)
(0.000579852,0.0218818)
(0.00265511,0.00830103)
(0.00628681,-0.00604266)
(0.00824,-0.0166021)
(0.0089114,-0.0193793)
(0.00509659,-0.0131535)
(-0.00152593,-0.00286874)
(-0.00900296,0.00735496)
(-0.0168767,0.0118717)
(-0.0213935,0.00915555)
(-0.0216376,0.000701926)
(-0.0177007,-0.0107425)
(-0.0102847,-0.0187689)
(-0.000976592,-0.0199896)
(0.00979644,-0.0146184)
(0.0169073,-0.00555437)
(0.0209052,0.00143437)
(0.0207221,0.00436415)
(0.0150151,0.000366222)
(0.00683615,-0.00827052)
(-0.00228889,-0.0187078)
(-0.0104068,-0.0261238)
(-0.0158696,-0.0280465)
(-0.0186468,-0.0234993)
(-0.0173956,-0.0160527)
(-0.0143437,-0.00979644)
(-0.011536,-0.00793481)
(-0.00991852,-0.0103763)
(-0.0102237,-0.016419)
(-0.0114444,-0.0237434)
(-0.0146184,-0.0267953)
(-0.0150456,-0.0257881)
(-0.0134587,-0.0200507)
(-0.0105899,-0.0119327)
(-0.00469985,-0.00509659)
(-0.00146489,-0.000732444)
(0.0013123,0.000732444)
(0.00122074,0.000671407)
(-0.00277718,0.00125126)
(-0.00808741,0.00613422)
(-0.0143132,0.0120243)
(-0.0168462,0.0195929)
(-0.0183416,0.0243233)
(-0.0166936,0.0242012)
(-0.0135807,0.0201422)
(-0.0111087,0.013184)
(-0.0105289,0.00683615)
(-0.0137028,0.00582904)
(-0.016419,0.00927763)
(-0.019837,0.0153203)
(-0.0209357,0.0218513)
(-0.018128,0.02472)
(-0.0114139,0.0229194)
(-0.00137333,0.0159917)
(0.00949126,0.00637837)
(0.0177923,0.000366222)
(0.021485,-0.000396741)
(0.0197455,0.00448622)
(0.0135807,0.0117496)
(0.00311289,0.0178228)
(-0.00653096,0.0198676)
(-0.0158696,0.0137638)
(-0.0207221,0.00308237)
(-0.0212409,-0.00723289)
(-0.018189,-0.0141606)
(-0.0115055,-0.0137028)
(-0.00540178,-0.00579852)
(0.000335704,0.00726341)
(0.00393689,0.017243)
(0.00619526,0.0210273)
(0.00582904,0.0151677)
(0.00454726,0.00323496)
(0.00341807,-0.0125126)
(0.00418104,-0.0256966)
(0.00634785,-0.0310373)
(0.00927763,-0.0292062)
(0.0136418,-0.0206915)
(0.0172735,-0.0100711)
(0.019837,-0.000885037)
(0.0210273,0.00543229)
(0.0198981,0.00885037)
(0.0186773,0.0106204)
(0.0156255,0.0134587)
(0.0138554,0.0156255)
(0.010712,0.0189215)
(0.00537126,0.0199896)
(-0.000488296,0.0179144)
(-0.00869778,0.0130314)
(-0.016541,0.00628681)
(-0.0229804,0.00140385)
(-0.027253,-0.000732444)
(-0.0279244,-6.1037e-05)
(-0.0258797,0.0028077)
(-0.0192572,0.00457778)
(-0.010773,0.00277718)
(-0.0019837,-0.00180059)
(0.00790429,-0.00952177)
(0.0168767,-0.0157476)
(0.0237739,-0.0169378)
(0.0267953,-0.0130009)
(0.0257271,-0.004944)
(0.0203253,0.003296)
(0.0113529,0.00790429)
(0.000305185,0.006592)
(-0.0103458,-0.00149541)
(-0.0193487,-0.0137028)
(-0.0243843,-0.0217597)
(-0.0252998,-0.0248421)
(-0.0243843,-0.0193487)
(-0.0192572,-0.00714133)
(-0.0158696,0.0077517)
(-0.0123905,0.0195929)
(-0.0102542,0.0226753)
(-0.00943022,0.0179144)
(-0.00839259,0.00833155)
(-0.00878933,-0.00491348)
(-0.0105289,-0.0145878)
(-0.0127262,-0.0168767)
(-0.0170904,-0.0121769)
(-0.0202643,-0.00344859)
(-0.0209662,0.00518815)
(-0.018891,0.0103458)
(-0.0128178,0.00915555)
(-0.00384533,0.00216681)
(0.00393689,-0.00854518)
(0.00827052,-0.018067)
(0.00824,-0.0250862)
(0.0044557,-0.0270699)
(-0.00256355,-0.0251473)
(-0.00756859,-0.0205084)
(-0.00759911,-0.0153508)
(-0.0021363,-0.0133671)
(0.00790429,-0.0116581)
(0.0172124,-0.0109256)
(0.0237129,-0.00811792)
(0.0231025,-0.00225837)
(0.0176397,0.00671407)
(0.0105594,0.0176702)
(0.00469985,0.0269478)
(0.00354015,0.0308542)
(0.00662252,0.0294504)
(0.0101932,0.0208136)
(0.0101627,0.00732444)
(0.00607318,-0.00460829)
(-0.00350963,-0.01236)
(-0.0146794,-0.0147099)
(-0.020661,-0.00991852)
(-0.019837,-0.00128178)
(-0.00762963,0.00912503)
