(0.00680563,-0.0187384)
(0.0189215,-0.00277718)
(0.013123,-0.00161748)
(0.0159917,0.005768)
(0.0104373,0.0115055)
(0.00863674,0.0193182)
(0.00387585,0.0231941)
(0.0021363,0.0220954)
(0.000854518,0.0145573)
(0.00125126,0.00381481)
(0.00323496,-0.00732444)
(0.00469985,-0.0129704)
(0.00460829,-0.0139164)
(0.00424207,-0.00952177)
(-0.000579852,-0.000305185)
(-0.00671407,0.00759911)
(-0.0113834,0.0108951)
(-0.0160833,0.00833155)
(-0.0166936,-0.000183111)
(-0.0139164,-0.00793481)
(-0.00799585,-0.0144658)
(6.1037e-05,-0.0163274)
(0.00778222,-0.0121158)
(0.014008,-0.00549333)
(0.0162969,0.00103763)
(0.0144353,0.00308237)
(0.0102847,-0.000640889)
(0.00350963,-0.00665304)
(-0.00393689,-0.0143132)
(-0.00991852,-0.0189825)
(-0.0133976,-0.0189825)
(-0.0138859,-0.0159001)
(-0.0133366,-0.0103153)
(-0.0104678,-0.00677511)
(-0.00772118,-0.00509659)
(-0.00750755,-0.00759911)
(-0.00842311,-0.0134587)
(-0.0100101,-0.0179144)
(-0.0112918,-0.019837)
(-0.0119022,-0.0180975)
(-0.0110477,-0.0140385)
(-0.00680563,-0.00790429)
(-0.00317392,-0.00360118)
(-0.00021363,-0.00137333)
(0.00109867,-0.000549333)
(6.1037e-05,-0.000335704)
(-0.00183111,0.00170904)
(-0.00531022,0.00555437)
(-0.0089114,0.0105899)
(-0.0110172,0.0161748)
(-0.0112003,0.0191961)
(-0.0108036,0.0188299)
(-0.00927763,0.0146489)
(-0.00875881,0.00970489)
(-0.00830103,0.00558489)
(-0.00967437,0.00463881)
(-0.0113224,0.00750755)
(-0.0134281,0.0130314)
(-0.0134281,0.0171819)
(-0.0112613,0.0194098)
(-0.00613422,0.0161138)
(0.000305185,0.0101932)
(0.00717185,0.0029603)
(0.0130314,-0.0021363)
(0.0162053,-0.00189215)
(0.0145878,0.00256355)
(0.0108341,0.00964385)
(0.0037843,0.0153203)
(-0.0044557,0.0153203)
(-0.0120548,0.0109561)
(-0.0165105,0.00231941)
(-0.01648,-0.00552385)
(-0.0142827,-0.010651)
(-0.00927763,-0.00964385)
(-0.00253304,-0.00402844)
(0.00283822,0.00509659)
(0.00567644,0.0127262)
(0.00555437,0.0151982)
(0.00466933,0.0108036)
(0.00189215,0.00125126)
(0.000305185,-0.0105594)
(0.000274667,-0.0194708)
(0.00262459,-0.0234077)
(0.00601215,-0.0215155)
(0.00979644,-0.0159307)
(0.0133061,-0.00787378)
(0.0160527,-0.000976592)
(0.0166631,0.00341807)
(0.0153508,0.00646992)
(0.0143437,0.00769066)
(0.0127873,0.00946074)
(0.0109867,0.0118717)
(0.00851466,0.0139775)
(0.00491348,0.0148015)
(-0.000946074,0.0133671)
(-0.00665304,0.00955229)
(-0.0122379,0.00589007)
(-0.0179449,0.0019837)
(-0.0204169,0.000885037)
(-0.0200201,0.00134281)
(-0.0184942,0.00341807)
(-0.0134587,0.00421155)
(-0.00747703,0.00201422)
(-0.00100711,-0.00274667)
(0.00549333,-0.00866726)
(0.0119327,-0.0133366)
(0.0173956,-0.0143742)
(0.0198981,-0.0110782)
(0.0198065,-0.00427259)
(0.0156255,0.00292978)
