(-0.0426633,0.0344413)
(-0.0426633,0.0344413)
(-0.0434047,0.0349305)
(-0.0434047,0.0349305)
(-0.0390155,0.0181872)
(-0.0390155,0.0181872)
(-0.037446,0.0287463)
(-0.037446,0.0287463)
(-0.0439057,0.0393523)
(-0.0439057,0.0393523)
(-0.0479575,0.0357251)
(-0.0479575,0.0357251)
(-0.0626294,0.0248799)
(-0.0626294,0.0248799)
(-0.0645412,0.03796)
(-0.0645412,0.03796)
(-0.0462438,0.0597731)
(-0.0462438,0.0597731)
(-0.0478379,0.0421522)
(-0.0478379,0.0421522)
(-0.0480739,0.0558195)
(-0.0480739,0.0558195)
(-0.0575026,0.0582144)
(-0.0575026,0.0582144)
(-0.0408542,0.0615012)
(-0.0408542,0.0615012)
(-0.0420666,0.065242)
(-0.0420666,0.065242)
(-0.0453982,0.0702258)
(-0.0453982,0.0702258)
(-0.0300101,0.068932)
(-0.0300101,0.068932)
(-0.0274612,0.0599013)
(-0.0274612,0.0599013)
(-0.034634,0.0699588)
(-0.034634,0.0699588)
(-0.0291058,0.0658093)
(-0.0291058,0.0658093)
(-0.037281,0.0796255)
(-0.037281,0.0796255)
(-0.0258602,0.0780476)
(-0.0258602,0.0780476)
(-0.0229965,0.0727284)
(-0.0229965,0.0727284)
(-0.0228668,0.0787017)
(-0.0228668,0.0787017)
(-0.0108817,0.0825954)
(-0.0108817,0.0825954)
(-0.0107628,0.0781724)
(-0.0107628,0.0781724)
(0.00581057,0.0710758)
(0.00581057,0.0710758)
(0.00865171,0.0863457)
(0.00865171,0.0863457)
(0.0145705,0.0832979)
(0.0145705,0.0832979)
(0.0141055,0.0736817)
(0.0141055,0.0736817)
(0.0200467,0.0864833)
(0.0200467,0.0864833)
(0.0178903,0.0729146)
(0.0178903,0.0729146)
(0.0126435,0.0764312)
(0.0126435,0.0764312)
(0.0221226,0.079688)
(0.0221226,0.079688)
(0.0336167,0.0755517)
(0.0336167,0.0755517)
(0.0447011,0.0666774)
(0.0447011,0.0666774)
(0.0230961,0.0754702)
(0.0230961,0.0754702)
(0.0571676,0.0764486)
(0.0571676,0.0764486)
(0.0492327,0.0618577)
(0.0492327,0.0618577)
(0.0593545,0.071513)
(0.0593545,0.071513)
(0.0536691,0.0734832)
(0.0536691,0.0734832)
(0.0654349,0.0528936)
(0.0654349,0.0528936)
(0.0591068,0.0474295)
(0.0591068,0.0474295)
(0.0753841,0.0521776)
(0.0753841,0.0521776)
(0.0621158,0.0501302)
(0.0621158,0.0501302)
(0.0853287,0.0440878)
(0.0853287,0.0440878)
(0.0731999,0.0347144)
(0.0731999,0.0347144)
(0.071669,0.0441151)
(0.071669,0.0441151)
(0.0794817,0.0416063)
(0.0794817,0.0416063)
(0.0664518,0.0251974)
(0.0664518,0.0251974)
